DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2026-01-05 08:00:00,315.5,621.7,13.0,8.8,0.0,0.0
2026-01-05 08:15:00,322.8,619.5,12.9,8.8,0.0,0.0
2026-01-05 08:30:00,325.5,618.2,12.9,8.8,0.0,0.0
2026-01-05 08:45:00,331.7,617.0,12.9,8.8,0.0,0.0
2026-01-05 09:00:00,330.8,616.3,12.9,8.6,0.0,0.0
2026-01-05 09:15:00,332.8,615.0,12.9,8.6,0.0,0.0
2026-01-05 09:30:00,334.7,613.5,12.9,8.6,0.0,0.0
2026-01-05 09:45:00,337.7,611.3,12.9,8.6,0.0,0.0
2026-01-05 10:00:00,340.7,610.5,12.9,8.7,0.075,0.0
2026-01-05 10:15:00,343.3,608.8,12.83,8.7,0.075,0.0
2026-01-05 10:30:00,345.7,608.7,12.8,8.7,0.075,0.0
2026-01-05 10:45:00,346.5,608.7,12.8,8.7,0.075,0.0
2026-01-05 11:00:00,349.3,606.8,12.8,8.9,0.025,0.0
2026-01-05 11:15:00,350.3,606.8,12.8,8.9,0.025,0.0
2026-01-05 11:30:00,352.7,605.5,12.8,8.9,0.025,0.0
2026-01-05 11:45:00,354.2,605.2,12.8,8.9,0.025,0.0
2026-01-05 12:00:00,354.8,603.7,12.8,9.4,0.3,0.0
2026-01-05 12:15:00,356.5,603.7,12.8,9.4,0.3,0.0
2026-01-05 12:30:00,357.5,602.7,12.8,9.4,0.3,0.0
2026-01-05 12:45:00,360.8,601.8,12.8,9.4,0.3,0.0
2026-01-05 13:00:00,358.8,601.8,12.8,9.4,0.025,0.0
2026-01-05 13:15:00,368.2,600.5,12.8,9.4,0.025,0.0
2026-01-05 13:30:00,368.8,599.2,12.8,9.4,0.025,0.0
2026-01-05 13:45:00,370.2,600.0,12.8,9.4,0.025,0.0
2026-01-05 14:00:00,370.8,601.2,12.8,9.5,0.025,0.0
2026-01-05 14:15:00,370.3,601.8,12.8,9.5,0.025,0.0
2026-01-05 14:30:00,370.7,600.2,12.8,9.5,0.025,0.0
2026-01-05 14:45:00,373.2,599.8,12.8,9.5,0.025,0.0
2026-01-05 15:00:00,379.8,598.0,12.8,9.4,0.0,0.0
2026-01-05 15:15:00,375.5,595.7,12.8,9.4,0.0,0.0
2026-01-05 15:30:00,379.2,593.3,12.8,9.4,0.0,0.0
2026-01-05 15:45:00,378.2,595.7,12.8,9.4,0.0,0.0
2026-01-05 16:00:00,380.5,595.7,12.8,9.5,0.025,5.0
2026-01-05 16:15:00,380.0,591.7,12.8,9.5,0.025,5.0
2026-01-05 16:30:00,382.8,592.5,12.8,9.5,0.025,5.0
2026-01-05 16:45:00,383.3,592.7,12.8,9.5,0.025,5.0
2026-01-05 17:00:00,382.8,592.5,12.9,10.5,0.0,53.0
2026-01-05 17:15:00,385.3,589.5,12.8,10.5,0.0,53.0
2026-01-05 17:30:00,387.7,589.7,12.85,10.5,0.0,53.0
2026-01-05 17:45:00,390.5,589.3,12.9,10.5,0.0,53.0
2026-01-05 18:00:00,394.2,595.3,12.9,12.1,0.0,158.0
2026-01-05 18:15:00,394.5,589.0,12.9,12.1,0.0,158.0
2026-01-05 18:30:00,395.5,588.0,12.9,12.1,0.0,158.0
2026-01-05 18:45:00,406.7,587.3,12.9,12.1,0.0,158.0
2026-01-05 19:00:00,405.3,587.5,12.9,12.1,0.1,196.0
2026-01-05 19:15:00,404.5,586.0,12.9,12.1,0.1,196.0
2026-01-05 19:30:00,407.8,586.2,12.9,12.1,0.1,196.0
2026-01-05 19:45:00,409.8,585.2,12.9,12.1,0.1,196.0
2026-01-05 20:00:00,412.3,585.8,13.0,12.5,0.2,326.0
2026-01-05 20:15:00,414.5,585.0,13.0,12.5,0.2,326.0
2026-01-05 20:30:00,419.5,585.7,13.0,12.5,0.2,326.0
2026-01-05 20:45:00,417.5,593.5,13.0,12.5,0.2,326.0
2026-01-05 21:00:00,405.8,602.8,13.1,11.8,0.125,76.0
2026-01-05 21:15:00,406.3,621.7,13.1,11.8,0.125,76.0
2026-01-05 21:30:00,405.3,613.3,13.1,11.8,0.125,76.0
2026-01-05 21:45:00,402.8,608.7,13.1,11.8,0.125,76.0
2026-01-05 22:00:00,399.3,609.8,13.1,10.9,0.425,48.0
2026-01-05 22:15:00,397.3,620.5,13.2,10.9,0.425,48.0
2026-01-05 22:30:00,395.7,634.7,13.2,10.9,0.425,48.0
2026-01-05 22:45:00,389.7,646.0,13.2,10.9,0.425,48.0
2026-01-05 23:00:00,367.7,650.5,13.2,10.8,0.775,31.0
2026-01-05 23:15:00,317.5,660.5,13.12,10.8,0.775,31.0
2026-01-05 23:30:00,267.7,677.8,13.1,10.8,0.775,31.0
2026-01-05 23:45:00,320.3,690.7,13.1,10.8,0.775,31.0
2026-01-06 00:00:00,252.8,740.2,13.0,10.9,0.875,16.0
2026-01-06 00:15:00,221.5,737.0,12.9,10.9,0.875,16.0
2026-01-06 00:30:00,208.7,719.3,12.67,10.9,0.875,16.0
2026-01-06 00:45:00,198.3,755.0,12.6,10.9,0.875,16.0
2026-01-06 01:00:00,207.0,798.5,12.6,10.5,0.8,7.0
2026-01-06 01:15:00,184.8,798.3,12.5,10.5,0.8,7.0
2026-01-06 01:30:00,191.2,788.7,12.5,10.5,0.8,7.0
2026-01-06 01:45:00,187.3,791.7,12.4,10.5,0.8,7.0
2026-01-06 02:00:00,199.2,763.7,12.4,10.3,1.575,0.0
2026-01-06 02:15:00,212.5,761.5,12.5,10.3,1.575,0.0
2026-01-06 02:30:00,213.8,763.2,12.4,10.3,1.575,0.0
2026-01-06 02:45:00,219.3,730.8,12.4,10.3,1.575,0.0
2026-01-06 03:00:00,224.3,718.7,12.4,10.2,0.525,0.0
2026-01-06 03:15:00,243.7,706.8,12.5,10.2,0.525,0.0
2026-01-06 03:30:00,248.2,701.2,12.5,10.2,0.525,0.0
2026-01-06 03:45:00,254.0,696.2,12.5,10.2,0.525,0.0
2026-01-06 04:00:00,259.8,685.0,12.5,10.2,0.225,0.0
2026-01-06 04:15:00,264.8,680.7,12.6,10.2,0.225,0.0
2026-01-06 04:30:00,266.7,678.3,12.6,10.2,0.225,0.0
2026-01-06 04:45:00,271.0,671.7,12.6,10.2,0.225,0.0
2026-01-06 05:00:00,277.8,669.3,12.6,10.3,0.15,0.0
2026-01-06 05:15:00,280.2,668.3,12.6,10.3,0.15,0.0
2026-01-06 05:30:00,283.8,672.8,12.7,10.3,0.15,0.0
2026-01-06 05:45:00,286.2,686.3,12.7,10.3,0.15,0.0
2026-01-06 06:00:00,291.7,697.2,12.7,10.2,0.05,0.0
2026-01-06 06:15:00,295.5,678.8,12.7,10.2,0.05,0.0
2026-01-06 06:30:00,291.7,669.8,12.7,10.2,0.05,0.0
2026-01-06 06:45:00,295.2,665.7,12.7,10.2,0.05,0.0
2026-01-06 07:00:00,295.0,660.2,12.7,9.8,0.0,0.0
2026-01-06 07:15:00,298.5,656.7,12.7,9.8,0.0,0.0
2026-01-06 07:30:00,296.8,653.5,12.7,9.8,0.0,0.0
2026-01-06 07:45:00,299.0,649.2,12.7,9.8,0.0,0.0
2026-01-06 08:00:00,303.5,645.5,12.7,9.2,0.075,0.0
2026-01-06 08:15:00,308.5,644.3,12.7,9.2,0.075,0.0
2026-01-06 08:30:00,311.7,640.0,12.7,9.2,0.075,0.0
2026-01-06 08:45:00,313.7,640.3,12.7,9.2,0.075,0.0
2026-01-06 09:00:00,314.0,637.7,12.72,9.2,0.05,0.0
2026-01-06 09:15:00,317.3,636.7,12.8,9.2,0.05,0.0
2026-01-06 09:30:00,321.3,635.3,12.8,9.2,0.05,0.0
2026-01-06 09:45:00,322.7,632.8,12.8,9.2,0.05,0.0
2026-01-06 10:00:00,324.7,632.0,12.8,8.8,0.025,0.0
2026-01-06 10:15:00,327.5,630.5,12.8,8.8,0.025,0.0
2026-01-06 10:30:00,325.7,629.2,12.8,8.8,0.025,0.0
2026-01-06 10:45:00,331.8,628.5,12.8,8.8,0.025,0.0
2026-01-06 11:00:00,335.3,627.7,12.8,9.2,0.025,0.0
2026-01-06 11:15:00,336.2,627.3,12.8,9.2,0.025,0.0
2026-01-06 11:30:00,337.3,625.7,12.8,9.2,0.025,0.0
2026-01-06 11:45:00,339.2,625.2,12.8,9.2,0.025,0.0
2026-01-06 12:00:00,341.7,624.3,12.8,9.4,0.0,0.0
2026-01-06 12:15:00,343.0,621.7,12.8,9.4,0.0,0.0
2026-01-06 12:30:00,344.3,622.0,12.9,9.4,0.0,0.0
2026-01-06 12:45:00,346.0,619.2,12.9,9.4,0.0,0.0
2026-01-06 13:00:00,348.2,617.8,12.9,9.3,0.0,0.0
2026-01-06 13:15:00,350.2,616.2,12.9,9.3,0.0,0.0
2026-01-06 13:30:00,350.2,615.3,12.9,9.3,0.0,0.0
2026-01-06 13:45:00,351.2,615.7,12.9,9.3,0.0,0.0
2026-01-06 14:00:00,352.2,614.7,12.9,9.2,0.0,0.0
2026-01-06 14:15:00,354.0,611.8,12.9,9.2,0.0,0.0
2026-01-06 14:30:00,358.7,613.3,12.9,9.2,0.0,0.0
2026-01-06 14:45:00,358.8,612.0,12.9,9.2,0.0,0.0
2026-01-06 15:00:00,362.2,609.7,12.9,9.1,0.0,0.0
2026-01-06 15:15:00,362.5,610.2,12.9,9.1,0.0,0.0
2026-01-06 15:30:00,363.8,609.0,12.9,9.1,0.0,0.0
2026-01-06 15:45:00,366.7,608.8,12.9,9.1,0.0,0.0
2026-01-06 16:00:00,369.0,607.3,12.9,9.1,0.0,6.0
2026-01-06 16:15:00,372.0,605.2,12.9,9.1,0.0,6.0
2026-01-06 16:30:00,373.3,605.5,12.9,9.1,0.0,6.0
2026-01-06 16:45:00,379.3,605.2,12.8,9.1,0.0,6.0
2026-01-06 17:00:00,380.7,603.8,12.8,10.7,0.0,125.0
2026-01-06 17:15:00,383.2,606.2,12.8,10.7,0.0,125.0
2026-01-06 17:30:00,384.7,604.2,12.9,10.7,0.0,125.0
2026-01-06 17:45:00,385.0,603.3,12.9,10.7,0.0,125.0
2026-01-06 18:00:00,387.8,600.8,12.9,12.8,0.0,273.0
2026-01-06 18:15:00,388.0,601.0,12.9,12.8,0.0,273.0
2026-01-06 18:30:00,389.7,600.5,12.9,12.8,0.0,273.0
2026-01-06 18:45:00,391.3,599.2,12.9,12.8,0.0,273.0
2026-01-06 19:00:00,393.2,600.7,12.9,13.4,0.0,334.0
2026-01-06 19:15:00,393.5,599.2,13.0,13.4,0.0,334.0
2026-01-06 19:30:00,393.5,597.8,13.0,13.4,0.0,334.0
2026-01-06 19:45:00,394.2,598.0,13.0,13.4,0.0,334.0
2026-01-06 20:00:00,395.3,597.2,13.0,13.0,0.0,238.0
2026-01-06 20:15:00,395.7,596.0,13.1,13.0,0.0,238.0
2026-01-06 20:30:00,397.0,596.3,13.1,13.0,0.0,238.0
2026-01-06 20:45:00,399.0,595.7,13.1,13.0,0.0,238.0
2026-01-06 21:00:00,400.3,596.8,13.1,13.4,0.0,228.0
2026-01-06 21:15:00,401.0,594.3,13.2,13.4,0.0,228.0
2026-01-06 21:30:00,401.2,594.7,13.2,13.4,0.0,228.0
2026-01-06 21:45:00,402.5,594.0,13.2,13.4,0.0,228.0
2026-01-06 22:00:00,404.7,593.7,13.2,14.6,0.0,379.0
2026-01-06 22:15:00,404.3,593.2,13.28,14.6,0.0,379.0
2026-01-06 22:30:00,405.0,592.3,13.3,14.6,0.0,379.0
2026-01-06 22:45:00,405.3,592.5,13.3,14.6,0.0,379.0
2026-01-06 23:00:00,404.5,593.3,13.3,14.7,0.0,293.0
2026-01-06 23:15:00,408.8,589.2,13.3,14.7,0.0,293.0
2026-01-06 23:30:00,412.3,590.0,13.3,14.7,0.0,293.0
2026-01-06 23:45:00,416.5,589.0,13.3,14.7,0.0,293.0
2026-01-07 00:00:00,416.2,589.3,13.38,14.2,0.0,161.0
2026-01-07 00:15:00,416.5,589.0,13.4,14.2,0.0,161.0
2026-01-07 00:30:00,417.0,588.3,13.4,14.2,0.0,161.0
2026-01-07 00:45:00,416.3,586.5,13.4,14.2,0.0,161.0
2026-01-07 01:00:00,415.3,587.2,13.4,12.6,0.0,52.0
2026-01-07 01:15:00,417.5,587.7,13.4,12.6,0.0,52.0
2026-01-07 01:30:00,417.5,585.3,13.4,12.6,0.0,52.0
2026-01-07 01:45:00,418.2,585.3,13.4,12.6,0.0,52.0
2026-01-07 02:00:00,419.7,585.7,13.4,11.3,0.0,0.0
2026-01-07 02:15:00,418.7,584.5,13.4,11.3,0.0,0.0
2026-01-07 02:30:00,419.5,582.2,13.4,11.3,0.0,0.0
2026-01-07 02:45:00,419.7,584.5,13.35,11.3,0.0,0.0
2026-01-07 03:00:00,421.2,584.3,13.3,10.0,0.0,0.0
2026-01-07 03:15:00,422.5,584.0,13.3,10.0,0.0,0.0
2026-01-07 03:30:00,422.0,583.3,13.3,10.0,0.0,0.0
2026-01-07 03:45:00,420.5,584.0,13.3,10.0,0.0,0.0
2026-01-07 04:00:00,421.8,582.8,13.3,9.4,0.0,0.0
2026-01-07 04:15:00,422.8,582.3,13.3,9.4,0.0,0.0
2026-01-07 04:30:00,423.3,582.7,13.27,9.4,0.0,0.0
2026-01-07 04:45:00,422.3,582.3,13.2,9.4,0.0,0.0
2026-01-07 05:00:00,423.0,580.5,13.2,8.6,0.0,0.0
2026-01-07 05:15:00,424.3,580.5,13.2,8.6,0.0,0.0
2026-01-07 05:30:00,423.8,580.3,13.2,8.6,0.0,0.0
2026-01-07 05:45:00,424.7,580.3,13.2,8.6,0.0,0.0
2026-01-07 06:00:00,424.7,580.5,13.13,9.1,0.0,0.0
2026-01-07 06:15:00,425.5,579.5,13.1,9.1,0.0,0.0
2026-01-07 06:30:00,427.2,578.5,13.1,9.1,0.0,0.0
2026-01-07 06:45:00,427.7,578.8,13.1,9.1,0.0,0.0
2026-01-07 07:00:00,428.3,576.7,13.1,9.0,0.0,0.0
2026-01-07 07:15:00,425.7,577.5,13.1,9.0,0.0,0.0
2026-01-07 07:30:00,431.2,576.8,13.1,9.0,0.0,0.0
2026-01-07 07:45:00,432.3,576.7,13.1,9.0,0.0,0.0
2026-01-07 08:00:00,433.8,575.3,13.05,9.6,0.0,0.0
2026-01-07 08:15:00,435.0,576.2,13.0,9.6,0.0,0.0
2026-01-07 08:30:00,436.8,575.0,13.0,9.6,0.0,0.0
2026-01-07 08:45:00,437.8,576.3,13.0,9.6,0.0,0.0
2026-01-07 09:00:00,438.5,576.0,13.0,9.3,0.0,0.0
2026-01-07 09:15:00,438.3,575.0,13.0,9.3,0.0,0.0
2026-01-07 09:30:00,438.7,574.2,13.0,9.3,0.0,0.0
2026-01-07 09:45:00,440.2,573.7,13.0,9.3,0.0,0.0
2026-01-07 10:00:00,441.2,573.3,13.0,9.7,0.0,0.0
2026-01-07 10:15:00,441.5,573.3,13.0,9.7,0.0,0.0
2026-01-07 10:30:00,443.5,572.8,13.0,9.7,0.0,0.0
2026-01-07 10:45:00,443.7,574.7,13.0,9.7,0.0,0.0
2026-01-07 11:00:00,444.3,571.5,13.0,9.6,0.0,0.0
2026-01-07 11:15:00,445.5,571.0,13.0,9.6,0.0,0.0
2026-01-07 11:30:00,445.2,571.8,13.0,9.6,0.0,0.0
2026-01-07 11:45:00,445.5,570.8,13.0,9.6,0.0,0.0
2026-01-07 12:00:00,445.8,570.8,13.0,8.7,0.0,0.0
2026-01-07 12:15:00,447.2,570.0,13.0,8.7,0.0,0.0
2026-01-07 12:30:00,449.0,570.0,13.0,8.7,0.0,0.0
2026-01-07 12:45:00,448.5,570.2,13.0,8.7,0.0,0.0
2026-01-07 13:00:00,449.5,569.8,13.0,8.8,0.0,0.0
2026-01-07 13:15:00,449.7,568.3,13.0,8.8,0.0,0.0
2026-01-07 13:30:00,449.0,569.3,13.0,8.8,0.0,0.0
2026-01-07 13:45:00,449.3,569.5,13.0,8.8,0.0,0.0
2026-01-07 14:00:00,449.0,571.5,13.0,8.3,0.025,0.0
2026-01-07 14:15:00,449.8,570.5,13.0,8.3,0.025,0.0
2026-01-07 14:30:00,450.2,569.0,13.0,8.3,0.025,0.0
2026-01-07 14:45:00,450.5,567.5,13.0,8.3,0.025,0.0
2026-01-07 15:00:00,450.8,567.5,13.0,8.2,0.0,0.0
2026-01-07 15:15:00,450.8,567.5,13.0,8.2,0.0,0.0
2026-01-07 15:30:00,452.0,568.2,13.0,8.2,0.0,0.0
2026-01-07 15:45:00,452.7,567.0,13.0,8.2,0.0,0.0
2026-01-07 16:00:00,453.5,566.3,13.0,7.5,0.0,11.0
2026-01-07 16:15:00,455.2,565.8,13.0,7.5,0.0,11.0
2026-01-07 16:30:00,455.8,566.0,12.98,7.5,0.0,11.0
2026-01-07 16:45:00,455.5,567.5,12.92,7.5,0.0,11.0
2026-01-07 17:00:00,456.2,567.7,12.9,9.7,0.0,107.0
2026-01-07 17:15:00,456.8,566.0,12.9,9.7,0.0,107.0
2026-01-07 17:30:00,458.0,565.3,12.9,9.7,0.0,107.0
2026-01-07 17:45:00,457.7,565.3,12.9,9.7,0.0,107.0
2026-01-07 18:00:00,457.7,564.3,12.9,11.1,0.0,244.0
2026-01-07 18:15:00,459.7,566.7,12.92,11.1,0.0,244.0
2026-01-07 18:30:00,459.7,564.0,13.0,11.1,0.0,244.0
2026-01-07 18:45:00,460.7,563.0,13.0,11.1,0.0,244.0
2026-01-07 19:00:00,460.3,562.2,13.0,12.3,0.0,397.0
2026-01-07 19:15:00,461.2,562.8,13.0,12.3,0.0,397.0
2026-01-07 19:30:00,463.3,563.5,13.0,12.3,0.0,397.0
2026-01-07 19:45:00,462.8,561.8,13.0,12.3,0.0,397.0
2026-01-07 20:00:00,463.0,563.3,13.0,13.3,0.0,475.0
2026-01-07 20:15:00,462.8,562.8,13.1,13.3,0.0,475.0
2026-01-07 20:30:00,464.3,561.0,13.1,13.3,0.0,475.0
2026-01-07 20:45:00,464.3,561.2,13.1,13.3,0.0,475.0
2026-01-07 21:00:00,465.8,561.2,13.1,14.3,0.0,456.0
2026-01-07 21:15:00,466.5,561.5,13.1,14.3,0.0,456.0
2026-01-07 21:30:00,466.3,560.3,13.1,14.3,0.0,456.0
2026-01-07 21:45:00,466.7,559.8,13.1,14.3,0.0,456.0
2026-01-07 22:00:00,467.7,559.5,13.17,14.6,0.0,420.0
2026-01-07 22:15:00,468.8,561.0,13.2,14.6,0.0,420.0
2026-01-07 22:30:00,468.7,560.0,13.2,14.6,0.0,420.0
2026-01-07 22:45:00,468.2,558.3,13.2,14.6,0.0,420.0
2026-01-07 23:00:00,469.8,559.2,13.2,14.0,0.0,328.0
2026-01-07 23:15:00,469.3,559.3,13.2,14.0,0.0,328.0
2026-01-07 23:30:00,471.0,557.5,13.2,14.0,0.0,328.0
2026-01-07 23:45:00,472.2,556.8,13.2,14.0,0.0,328.0
2026-01-08 00:00:00,472.7,557.0,13.2,13.0,0.0,196.0
2026-01-08 00:15:00,473.7,557.0,13.28,13.0,0.0,196.0
2026-01-08 00:30:00,473.8,557.7,13.3,13.0,0.0,196.0
2026-01-08 00:45:00,475.0,556.8,13.25,13.0,0.0,196.0
2026-01-08 01:00:00,475.8,556.3,13.3,11.1,0.0,58.0
2026-01-08 01:15:00,476.3,557.0,13.3,11.1,0.0,58.0
2026-01-08 01:30:00,476.3,557.3,13.28,11.1,0.0,58.0
2026-01-08 01:45:00,477.3,556.0,13.2,11.1,0.0,58.0
2026-01-08 02:00:00,477.5,555.8,13.2,9.8,0.0,0.0
2026-01-08 02:15:00,478.3,555.8,13.2,9.8,0.0,0.0
2026-01-08 02:30:00,477.5,556.2,13.2,9.8,0.0,0.0
2026-01-08 02:45:00,479.0,556.2,13.2,9.8,0.0,0.0
2026-01-08 03:00:00,482.0,555.8,13.2,9.3,0.0,0.0
2026-01-08 03:15:00,485.3,556.0,13.2,9.3,0.0,0.0
2026-01-08 03:30:00,486.3,555.7,13.2,9.3,0.0,0.0
2026-01-08 03:45:00,486.2,554.8,13.1,9.3,0.0,0.0
2026-01-08 04:00:00,485.7,554.8,13.1,9.1,0.0,0.0
2026-01-08 04:15:00,488.3,555.0,13.1,9.1,0.0,0.0
2026-01-08 04:30:00,489.8,555.3,13.1,9.1,0.0,0.0
2026-01-08 04:45:00,490.2,554.2,13.1,9.1,0.0,0.0
2026-01-08 05:00:00,491.2,552.8,13.1,8.8,0.0,0.0
2026-01-08 05:15:00,491.2,553.5,13.0,8.8,0.0,0.0
2026-01-08 05:30:00,491.7,553.7,13.02,8.8,0.0,0.0
2026-01-08 05:45:00,490.0,553.7,13.0,8.8,0.0,0.0
2026-01-08 06:00:00,492.0,553.3,13.0,8.8,0.05,0.0
2026-01-08 06:15:00,493.5,553.5,13.0,8.8,0.05,0.0
2026-01-08 06:30:00,493.8,554.0,13.0,8.8,0.05,0.0
2026-01-08 06:45:00,496.7,553.2,13.0,8.8,0.05,0.0
2026-01-08 07:00:00,495.2,551.8,13.0,9.4,0.025,0.0
2026-01-08 07:15:00,497.0,551.2,13.0,9.4,0.025,0.0
2026-01-08 07:30:00,497.3,553.3,13.0,9.4,0.025,0.0
2026-01-08 07:45:00,498.0,556.7,13.0,9.4,0.025,0.0
2026-01-08 08:00:00,499.3,564.0,13.0,8.7,0.0,0.0
2026-01-08 08:15:00,498.7,566.5,13.0,8.7,0.0,0.0
2026-01-08 08:30:00,498.8,559.8,13.0,8.7,0.0,0.0
2026-01-08 08:45:00,498.0,557.5,13.0,8.7,0.0,0.0
2026-01-08 09:00:00,498.0,555.2,12.9,8.3,0.0,0.0
2026-01-08 09:15:00,499.8,554.0,12.9,8.3,0.0,0.0
2026-01-08 09:30:00,502.0,554.3,12.9,8.3,0.0,0.0
2026-01-08 09:45:00,502.0,553.0,12.9,8.3,0.0,0.0
2026-01-08 10:00:00,503.2,553.2,12.9,7.9,0.0,0.0
2026-01-08 10:15:00,503.2,551.8,12.9,7.9,0.0,0.0
2026-01-08 10:30:00,505.0,551.3,12.9,7.9,0.0,0.0
2026-01-08 10:45:00,504.3,553.0,12.9,7.9,0.0,0.0
2026-01-08 11:00:00,505.0,553.7,12.8,7.6,0.0,0.0
2026-01-08 11:15:00,504.0,551.8,12.8,7.6,0.0,0.0
2026-01-08 11:30:00,504.5,550.3,12.8,7.6,0.0,0.0
2026-01-08 11:45:00,504.7,551.0,12.8,7.6,0.0,0.0
2026-01-08 12:00:00,503.3,550.8,12.8,7.7,0.0,0.0
2026-01-08 12:15:00,504.8,550.5,12.7,7.7,0.0,0.0
2026-01-08 12:30:00,504.5,550.3,12.7,7.7,0.0,0.0
2026-01-08 12:45:00,505.0,549.3,12.7,7.7,0.0,0.0
2026-01-08 13:00:00,505.8,549.0,12.7,6.9,0.0,0.0
2026-01-08 13:15:00,507.8,550.7,12.6,6.9,0.0,0.0
2026-01-08 13:30:00,506.8,549.5,12.6,6.9,0.0,0.0
2026-01-08 13:45:00,507.2,547.8,12.6,6.9,0.0,0.0
2026-01-08 14:00:00,507.3,549.3,12.6,6.2,0.0,0.0
2026-01-08 14:15:00,508.5,548.8,12.5,6.2,0.0,0.0
2026-01-08 14:30:00,509.0,548.8,12.5,6.2,0.0,0.0
2026-01-08 14:45:00,509.2,547.5,12.5,6.2,0.0,0.0
2026-01-08 15:00:00,509.5,548.0,12.5,5.6,0.0,0.0
2026-01-08 15:15:00,510.2,547.2,12.4,5.6,0.0,0.0
2026-01-08 15:30:00,510.5,549.0,12.4,5.6,0.0,0.0
2026-01-08 15:45:00,512.7,547.5,12.4,5.6,0.0,0.0
2026-01-08 16:00:00,512.3,546.8,12.4,5.6,0.0,13.0
2026-01-08 16:15:00,513.7,548.3,12.3,5.6,0.0,13.0
2026-01-08 16:30:00,513.7,549.5,12.3,5.6,0.0,13.0
2026-01-08 16:45:00,515.2,547.2,12.3,5.6,0.0,13.0
2026-01-08 17:00:00,515.2,548.3,12.3,7.1,0.0,137.0
2026-01-08 17:15:00,515.7,547.7,12.2,7.1,0.0,137.0
2026-01-08 17:30:00,516.5,548.0,12.2,7.1,0.0,137.0
2026-01-08 17:45:00,517.2,550.0,12.2,7.1,0.0,137.0
2026-01-08 18:00:00,517.5,547.5,12.2,8.7,0.0,295.0
2026-01-08 18:15:00,519.2,545.5,12.2,8.7,0.0,295.0
2026-01-08 18:30:00,518.5,547.3,12.2,8.7,0.0,295.0
2026-01-08 18:45:00,519.5,547.2,12.2,8.7,0.0,295.0
2026-01-08 19:00:00,519.5,546.0,12.2,10.1,0.0,422.0
2026-01-08 19:15:00,519.7,546.0,12.2,10.1,0.0,422.0
2026-01-08 19:30:00,521.7,547.0,12.2,10.1,0.0,422.0
2026-01-08 19:45:00,522.8,547.0,12.2,10.1,0.0,422.0
2026-01-08 20:00:00,524.3,546.2,12.2,11.1,0.0,498.0
2026-01-08 20:15:00,524.7,546.5,12.2,11.1,0.0,498.0
2026-01-08 20:30:00,525.5,546.5,12.3,11.1,0.0,498.0
2026-01-08 20:45:00,525.7,547.0,12.3,11.1,0.0,498.0
2026-01-08 21:00:00,527.8,545.0,12.3,11.9,0.0,514.0
2026-01-08 21:15:00,528.7,545.8,12.3,11.9,0.0,514.0
2026-01-08 21:30:00,529.5,544.3,12.3,11.9,0.0,514.0
2026-01-08 21:45:00,529.0,544.8,12.3,11.9,0.0,514.0
2026-01-08 22:00:00,529.3,546.3,12.3,11.9,0.0,469.0
2026-01-08 22:15:00,532.2,545.0,12.32,11.9,0.0,469.0
2026-01-08 22:30:00,533.3,545.2,12.4,11.9,0.0,469.0
2026-01-08 22:45:00,533.3,544.0,12.4,11.9,0.0,469.0
2026-01-08 23:00:00,532.7,546.8,12.4,11.7,0.0,368.0
2026-01-08 23:15:00,534.0,547.0,12.4,11.7,0.0,368.0
2026-01-08 23:30:00,533.5,544.8,12.4,11.7,0.0,368.0
2026-01-08 23:45:00,534.5,544.8,12.4,11.7,0.0,368.0
2026-01-09 00:00:00,535.5,545.5,12.4,11.6,0.0,225.0
2026-01-09 00:15:00,535.5,543.7,12.4,11.6,0.0,225.0
2026-01-09 00:30:00,537.5,543.8,12.3,11.6,0.0,225.0
2026-01-09 00:45:00,538.0,542.2,12.3,11.6,0.0,225.0
2026-01-09 01:00:00,538.3,547.0,12.3,9.4,0.0,67.0
2026-01-09 01:15:00,538.3,544.2,12.3,9.4,0.0,67.0
2026-01-09 01:30:00,540.5,545.0,12.3,9.4,0.0,67.0
2026-01-09 01:45:00,541.0,543.2,12.3,9.4,0.0,67.0
2026-01-09 02:00:00,541.5,544.2,12.3,7.9,0.0,0.0
2026-01-09 02:15:00,541.3,543.0,12.3,7.9,0.0,0.0
2026-01-09 02:30:00,542.2,545.0,12.3,7.9,0.0,0.0
2026-01-09 02:45:00,543.5,545.0,12.23,7.9,0.0,0.0
2026-01-09 03:00:00,543.3,545.2,12.2,7.3,0.0,0.0
2026-01-09 03:15:00,543.5,542.8,12.2,7.3,0.0,0.0
2026-01-09 03:30:00,544.7,545.2,12.2,7.3,0.0,0.0
2026-01-09 03:45:00,546.8,543.8,12.2,7.3,0.0,0.0
2026-01-09 04:00:00,546.3,544.2,12.2,6.9,0.0,0.0
2026-01-09 04:15:00,546.3,541.8,12.1,6.9,0.0,0.0
2026-01-09 04:30:00,546.7,542.7,12.1,6.9,0.0,0.0
2026-01-09 04:45:00,546.7,542.0,12.1,6.9,0.0,0.0
2026-01-09 05:00:00,548.5,541.7,12.1,7.0,0.0,0.0
2026-01-09 05:15:00,549.2,541.2,12.1,7.0,0.0,0.0
2026-01-09 05:30:00,550.0,541.2,12.02,7.0,0.0,0.0
2026-01-09 05:45:00,550.7,541.0,12.0,7.0,0.0,0.0
